,Food Name,Glycemic Load,Completeness Score,Amino Acid Score
7074,fluted shround sweet coated,,,
7075,cheeseburger slider from fast food,,,
7076,natural cheddar cheese with cranberries,,,
7077,gourmet cooking red wine,,,
7078,ray not specified as to,,,
7079,del monte peach halves in,,,
7080,multigrain instant dry ba,,,
7081,blueberries frozen,16.0,27.0,34.0
7082,chia star organic splash beverage,,,
7083,cookie gingersnaps,4.0,25.0,68.0
7084,beef grilled cooked choice trimmed,0.0,41.0,94.0
7085,cake or cupcake with icing,,,
7086,cookies reduced fat oatmeal,,,
7087,ham or pork and potatoes,,,
7088,duck roasted cooked meat only,0.0,43.0,147.0
7089,pillsbury grands flaky cinnamon rolls,,,
7090,tropicana trop raspberry acai juice,,,
7091,sushi roll vegetable,,,
7092,blackberry lime flavored sparkling craft,,,
7093,black bean corn,,,
7094,cocktail mix,16.0,3.0,
7095,bushs organic dark kidney beans,,,
7096,corn raw,1.0,42.0,130.0
7097,crab cake,0.0,53.0,114.0
7098,tomato juice horseradish capers worcestershire,,,
7099,artisan bread almond flour mix,,,
7100,plantain cooked with oil,,,
7101,cheese italian finely shredded natural,,,
7102,ham tailgaters,,,
7103,potatoes unprepared frozen salt added,10.0,35.0,106.0
7104,tait farm foods shrub artisan,,,
7105,pistachio nuts not further speficied,,,
7106,bacon and egg sandwich,22.0,32.0,
7107,dropo water enhancer peach mint,,,
7108,turkey skin not eaten cooked,,,
7109,calorie free lemon flavored sparkling,,,
7110,anna durum wheat semolina enriched,,,
7111,red gold salsa medium,,,
7112,extra long grain enriched parboiled,,,
7113,berry flavored allinone shake drink,,,
7114,chicken breast from precooked skin,,,
7115,snacks fat free microwave popcorn,11.0,32.0,64.0
7116,chunky crushed tomatoes with omega,,,
7117,pure canola cooking oil,,,
7118,concentrated curry paste,,,
7119,raspberries sweetened red frozen,22.0,37.0,
7120,basil garlic oil,,,
7121,cereals without salt prepared microwaved,,,
7122,organic sprouted wheat kernels,,,
7123,trout made with cooking spray,,,
7124,cheese semisoft type goat,0.0,36.0,125.0
7125,beef raw choice trimmed to,0.0,40.0,94.0
7126,quaker stila strawberry crispy oat,,,
7127,grace aloe vera drink mango,,,
7128,cuban panini sandwiches,24.0,28.0,
7129,bread made with low fat,17.0,33.0,87.0
7130,kelloggs rice krispies treats squares,21.0,25.0,
7131,ahold natures promise organic barbecue,,,
7132,fritos flavor twists honey bbq,,,
7133,pork belly skinless single rib,,,
7134,pasta with tomatobased sauce and,,,
7135,fish dry heat cooked chinook,0.0,41.0,148.0
7136,kidney beans reduced sodium from,,,
7137,advanced nutrition strawberries cream meal,,,
7138,golden dry cooking wine,,,
7139,everything bagel topped with ham,,,
7140,gatorade thirst quencher low calorie,,,
7141,beverages readytodrink tropical punch,,,
7142,collards cooked with oil fresh,,,
7143,prego sauces creamy vodka,,,
7144,cereal frosted corn flakes,,,
7145,noodles chow mein chinese,15.0,27.0,37.0
7146,mustard greens raw,1.0,91.0,56.0
7147,coated trendy shell round sweet,,,
7148,authenticate indian tomato chili sauce,,,
7149,diet mtn dew fluid ounces,,,
7150,chicken patty frozen meal vegetable,,,
7151,all natural hot sauce,,,
7152,alphonso mango dairyfree sorbetto,,,
7153,apricot dried,29.0,39.0,34.0
7154,cranberry horseradish,,,
7155,oreo cookie crumbs small pieces,,,
7156,creamy vanilla advanced nutritional drink,,,
7157,an enriched macaroni product fettuccini,,,
7158,pie commercially prepared lemon meringue,29.0,16.0,110.0
7159,tropical fruit medley strained ba,,,
7160,all natural sweet original hawg,,,
7161,all natural picante sauce medium,,,
7162,arizona half iced tea lemonade,,,
7163,french vanilla flavored drink mix,,,
7164,peter pan creamy peanut butter,,,
7165,carbonated tea,,,
7166,infant formula not further specified,,,
7167,succotash without salt drained boiled,18.0,62.0,97.0
7168,dressing with meat and vegetables,,,
7169,water beverage with electrolytes vitamins,,,
7170,berry pro plant based electrolytes,,,
7171,paella with seafood,,,
7172,frozen coffee drink with whipped,,,
7173,everyday value mini pizzas three,,,
7174,brown basmati,,,
7175,hunts bbq sauce bold,,,
7176,pork sausage reduced sodium,,,
7177,columbia gorge organic farm to,,,
7178,coconut water lightly sweetened,,,
7179,chicken flour fried cooked meat,2.0,27.0,133.0
7180,bean and ham soup prepared,,,
7181,coffee cappuccino,8.0,14.0,
7182,beef braised cooked separable lean,0.0,38.0,94.0
7183,candies sesame crunch,0.0,39.0,
7184,whole wheat cereal no added,,,
7185,american fat free nonfat pasteurized,,,
7186,bread cheese,9.0,19.0,
7187,gatorade thirst quencher tangerine mandarina,,,
7188,carving station turkey breast,,,
7189,fast foods and condiments cheese,26.0,38.0,
7190,alwadi orange blossom water,,,
7191,american deluxe pasteurized process cheese,,,
7192,nona lim whole wheat ramen,,,
7193,blood orange yerba mate kombucha,,,
7194,bobs red mill bread mix,,,
7195,buffalo organic ketocauliflower hummus,,,
7196,progresso reduced sodium creolestyle chicken,,,
7197,propel liquid enhancer strawberry kiwi,,,
7198,horned melon kiwano,,,
7199,craft brewed kombucha flowers of,,,
7200,austin crackers grilled cheese,,,
7201,cherrywood smoked,,,
7202,annies organic mac and cheese,,,
7203,whole wheat macaroni product spaghetti,,,
7204,pork or ham with soybased,,,
7205,head crafted with boars ovengold,,,
7206,veal lean and fat eaten,,,
7207,pork braised cooked separable lean,0.0,37.0,150.0
7208,coconut curry organic vegan indian,,,
7209,banquet chicken patties ounce,,,
7210,asian style bbq wing sauce,,,
7211,dumpling or seafood poultry filled,,,
7212,cereals no salt prepared with,1.0,30.0,
7213,cajun style turkey breast,,,
7214,balsamic caramelized onion spread,,,
7215,chia energy beverage,,,
7216,kashi entres fire roasted quinoa,,,
7217,rice raw mediumgrain brown,,,
7218,delgrosso three cheese pasta sauce,,,
7219,ahold clear splash sparkling water,,,
7220,amish style hand made egg,,,
7221,yoplait cherry chocolate almond mixins,,,
7222,pork restaurant cooked bacon cured,,,
7223,annies homegrown organic grapes galore,,,
7224,beverages fortified with vitamins b,,,
7225,candies caramels,36.0,10.0,127.0
7226,beef grilled cooked choice trimmed,0.0,41.0,94.0
7227,milk fat free skim evaporated,,,
7228,nescafe tasters choice instant coffee,,,
7229,award cuisine traditional lasagna,,,
7230,bratwurst cooked chicken,0.0,31.0,
7231,sliced california ripe olives,,,
7232,chipotle bbq chicken sharp cheddar,,,
7233,un sweetened slow brewed iced,,,
7234,stuffed shells with tomato sauce,,,
7235,beans with salt boiled cooked,21.0,52.0,79.0
7236,pure organic fruit nut bar,,,
7237,yogurt lowfat strawberry greek,,,
7238,blended with extra virgin olive,,,
7239,turkey raw with added solution,,,
7240,pork roasted heated separable lean,18.0,42.0,132.0
7241,iced mango black tea,,,
7242,chile verde simmer sauce,,,
7243,egg fried with oil whole,,,
7244,bacnvactraypakfloz,,,
7245,annies organic white cheddar bunnies,,,
7246,city ham,,,
7247,ruffed grouse raw skinless breast,,,
7248,morningstar farms meal solutions pizza,,,
7249,golden sugar,20.0,58.0,
7250,totinos sausage pizza rolls count,,,
7251,brick oven crust supreme pizza,,,
7252,cherries dried,,,
7253,green tea,5.0,22.0,
7254,whopper jr with cheese burger,15.0,19.0,
7255,game meat roasted cooked horse,0.0,43.0,144.0
7256,soybean curd cheese,10.0,49.0,
7257,pork braised cooked separable lean,0.0,37.0,150.0
7258,bread commercially prepared wholewheat,,,
7259,banana super premium ice cream,,,
7260,buddhas brew kombucha tart cherry,,,
7261,fish curry,,,
7262,catfish made with butter fried,,,
7263,sweet creamy medium roast coffee,,,
7264,frankfurter grilled cooked meat and,,,
7265,thinly sliced sirloin beef,,,
7266,mojito,,,
7267,turnip greens fat added cooked,,,
7268,quaker chewy smores granola bars,,,
7269,baked beans bold spicy,,,
7270,herring fat added baked or,,,
7271,keebler toasted crackers onion,,,
7272,diced fruit cocktail in light,,,
7273,cookies refrigerated dough peanut butter,5.0,17.0,81.0
7274,nutrition bar clif,,,
7275,black beans reduced sodium from,,,
7276,margarinelike spread with yogurt salt,,,
7277,agromonte ready cherry tomato sauce,,,
7278,assorted berry pops quiescently frozen,,,
7279,cherry tomatoes,,,
7280,cocktail mix hurricane,,,
7281,family gourmet sugar,,,
7282,homestyle egg noodles,,,
7283,premium water enhancer,,,
7284,arrabiata pasta sauce,,,
7285,jack rabbit pearled barley,,,
7286,viloe coconut aloe,,,
7287,kelloggs miniwheats cereal little bites,,,
7288,craft brewed kombucha cafe con,,,
7289,arizona country kitchen premium salad,,,
7290,larabar frt nt fd bar,,,
7291,campbells soup creamy chicken mushroom,,,
7292,mama instant rice vermicelli noodles,,,
7293,sweet potato tots baked from,,,
7294,coffee nonfat cafe mocha,,,
7295,enchilada with meat and beans,,,
7296,fish dry heat cooked northern,0.0,52.0,148.0
7297,cereals dry farina hot wheat,17.0,42.0,
7298,acai sorbet,,,
7299,prego sauces italian,7.0,33.0,
7300,potato not further speficied scalloped,,,
7301,organic chickpea pasta fusilli,,,
7302,succotash unprepared frozen corn and,12.0,58.0,97.0
7303,frankfurter or hot dog sandwich,,,
7304,tropicana cranberry juice beverage fluid,,,
7305,cashews lightly salted,,,
7306,caramel with nuts chocolate covered,5.0,21.0,
7307,hunts no salt petite diced,,,
7308,harris teeter liquid water enhancer,,,
7309,carp not specified as to,,,
7310,fd shd tst gd tortilla,,,
7311,ben jerrys ice cream cake,,,
7312,cactus raw,,,
7313,yellow string beans cooked,,,
7314,gluten free pasta rotini,,,
7315,potato made with oil peel,,,
7316,sherbet raspberry dipping,,,
7317,chicken batter fried cooked meat,4.0,26.0,133.0
7318,general tsos simmer sauce,,,
7319,fiber one protein chocolate pretzel,,,
7320,ajua caffeine free soda tutti,,,
7321,coco usa coconut water,,,
7322,egg and steak on biscuit,,,
7323,beef grilled cooked choice trimmed,0.0,41.0,94.0
7324,essentials shake drink mix,,,
7325,cheese flavored corn snacks cheetos,,,
7326,blazing hot flavor spicy ramen,,,
7327,ginger beer zero calorie mixer,,,
7328,chex mix mint chocolate muddy,,,
7329,tuna helper creamy broccoli,,,
7330,bacon bits meatless,1.0,33.0,
7331,cookie not specified as to,,,
7332,creatmy toamty roasted garlic pasta,,,
7333,better value creamy french style,,,
7334,crackers rye crispbread,24.0,34.0,74.0
7335,snacks chewy trail mix nature,,,
7336,van camps pork and beans,,,
7337,sweet potato without salt flesh,,,
7338,candies krackel chocolate bar,16.0,11.0,
7339,chicken parmigiana pizza,,,
7340,collards no added fat cooked,,,
7341,pure watermelon water,,,
7342,puddings prepared with whole milk,3.0,25.0,138.0
7343,mtn dew soda fl fluid,,,
7344,pork roasted cooked bonein separable,,,
7345,frankfurter or hot dog sandwich,,,
7346,beef braised cooked choice trimmed,0.0,38.0,94.0
7347,turkey cheddar cheese sandwich,,,
7348,chicken fillet sandwich on white,,,
7349,barbeque sauce,4.0,8.0,
7350,fish oil menhaden,0.0,0.0,0.0
7351,classic basil pesto,,,
7352,diet green tea with ginseng,,,
7353,banquet original chicken,14.0,18.0,
7354,keebler kblr licensed crackers graham,,,
7355,rice no added fat with,,,
7356,green lentil brown rice blend,,,
7357,cream puff no filling or,,,
7358,organic turkey cheddar sandwich,,,
7359,pork unheated separable lean and,0.0,34.0,136.0
7360,all natural tea,,,
7361,breadsticks from fast food restaurant,,,
7362,enriched thai fragrant long grain,,,
7363,bacon wrapped beef tenderloin steaks,,,
7364,chicken pretzel roll,,,
7365,plums junior ba,,,
7366,organic cheese apple crisps,,,
7367,shrimp soup not specified as,,,
7368,gamesa surtido sugar wafers strawberry,,,
7369,green peas cooked with butter,,,
7370,pork bacon cooked smoked or,,,
7371,all natural hummus,,,
7372,sheep milk queso manchego,,,
7373,grapefruit juice sweetened canned white,9.0,31.0,
7374,cedars hommus balsamic caramelized onion,,,
7375,citrus black lightly brewed sparkling,,,
7376,pork steak or cutlet lean,,,
7377,pork loin tenderloin,2.0,43.0,150.0
7378,beverages peach mango v vfusion,,,
7379,annies three cheese mini pizza,,,
7380,blueberry premium fruit filling or,,,
7381,lamb cooked separable lean only,0.0,40.0,141.0
7382,tangerine juice,10.0,37.0,22.0
7383,hot chocolate cocoa made with,,,
7384,coffee creamer liquid soy,,,
7385,david nut and fruit trail,,,
7386,chicken waldorf sandwich on multigrain,,,
7387,bratwurst pizza,,,
7388,yoplait original lf ygrt white,,,
7389,classic sauces tomato garlic onion,,,
7390,chocolate milk not specified as,,,
7391,pepper jack cheese honey roasted,,,
7392,authentic mexican salsa,,,
7393,all natural strawberry ice cream,9.0,21.0,
7394,pie two crust mince,,,
7395,beet balsamic hummus,,,
7396,esan marzano italian chopped tomatoes,,,
7397,asparagus no added fat cooked,,,
7398,cottage cheese with pineapple added,,,
7399,aged swiss cheese,,,
7400,annies homegrown organic chicken noodle,,,
7401,kelloggs frosted flakes cereal reduced,20.0,53.0,
7402,chef crafted panko breadcrums parmesan,,,
7403,italian sub on white bun,,,
7404,orange liquid drink mix,,,
7405,lamb grilled cooked trimmed to,,,
7406,classico pasta sauce florentine spinach,,,
7407,almond topping,0.0,24.0,
7408,ahold simply enjoy kale pesto,,,
7409,broccoli crust aged asiago romano,,,
7410,santiam french style green beans,,,
7411,potato chips other flavored ruffled,,,
7412,gut check coldpressed juice,,,
7413,chicken thigh from restaurant skin,,,
7414,chicken drumstick from raw skin,,,
7415,chipotle turkey with pepper jack,,,
7416,organic marinara pasta sauce with,,,
7417,gluten free szechuan spicy hot,,,
7418,alexander,,,
7419,banquet turkey sausage links,,,
7420,frankfurter or hot dog sandwich,,,
7421,aldens organic sherbet ice cream,,,
7422,beverages prepared with whole milk,12.0,40.0,83.0
7423,stuffed cabbage puerto rican style,,,
7424,organic buckwheat ramen,,,
7425,fish dry heat cooked atlantic,0.0,40.0,148.0
7426,everyday value organic whole wheat,,,
7427,compact therapeutic nutrition shake milk,,,
7428,cherry effervescent electrolyte powder,,,
7429,fish and vegetable soup mexican,,,
7430,asian stir fry vegetables fat,,,
7431,giant homestyle cooking sauce garlic,,,
7432,whole wheat puff pastry quiche,,,
7433,gouda natural cheese honey roasted,,,
7434,durum whole wheat pasta angel,,,
7435,vanilla thunder butter coffee bombs,,,
7436,nuts canned flaked sweetened dried,15.0,16.0,87.0
7437,enriched long grain white rice,22.0,35.0,55.0
7438,fish sandwich from fast food,,,
7439,orville redenbachers smart pop butter,,,
7440,sodastream sparkling drink mix lemonginger,,,
7441,signature sandwich,,,
7442,beef raw all grades trimmed,0.0,41.0,94.0
7443,pure coconut water with guava,,,
7444,asparagus lemon herb,,,
7445,organic royal quinoa,,,
7446,natural seltzer vanilla zen,,,
7447,advantage care pediatric electrolyte solution,,,
7448,organic lite coconut milk,,,
7449,turkey marsala,,,
7450,demerara pure sugar,,,
7451,green chili cilantro quinoa,,,
7452,organic tricolor quinoa,,,
7453,beef dinner frozen meal not,,,
7454,chai kombucha,,,
7455,candies dove dark chocolate mars,,,
7456,cisse trading co muffin mix,,,
7457,nuts blanched hazelnuts or filberts,0.0,33.0,55.0
7458,granulated sugar,2.0,0.0,0.0
7459,chicken leg skin coating eaten,,,
7460,ginseng green with natural passion,,,
7461,pretzels not further speficied,,,
7462,beef raw pancreas variety meats,0.0,46.0,109.0
7463,jellyfish salted dried,0.0,31.0,
7464,cereal kelloggs smorz,17.0,55.0,
7465,food should taste good jalapeno,,,
7466,apple cider from concentrate with,,,
7467,annies shiitake sesame vinaigrette dressing,,,
7468,apricot spread,,,
7469,cheese sandwich with mayonnaise on,,,
7470,california healthy harvest bartlett pear,,,
7471,peppers unprepared chopped frozen red,5.0,82.0,87.0
7472,lemon water beverage with electrolytes,,,
7473,all natural basiloregano seasoned rice,,,
7474,thirst quencher pineapple mango,,,
7475,bushs new orleans style red,,,
7476,crackers rice and nuts,,,
7477,bold tasting calories soda,,,
7478,allulose zero calorie sweetener,,,
7479,morningstar farms breakfast southwest sunrise,,,
7480,yokan prepared from adzuki beans,,,
7481,pasta with added salt unenriched,,,
7482,organic water maple syrup lemon,,,
7483,blood orange organic antioxidant rich,,,
7484,kellogg froot loops,19.0,59.0,
7485,mollusks canned eastern oyster,5.0,75.0,107.0
7486,cabbage raw chinese petsai,,,
7487,brisk fruit punch caffeine free,,,
7488,slim jim snacksized smoked meat,,,
7489,bionaturae gluten free linguine,,,
7490,cilantro green chile skillet sauce,,,
7491,pillsbury ready to bake ghost,,,
7492,turkey deli cut rotisserie white,2.0,52.0,145.0
7493,kashi chewy bars double chocolate,,,
7494,american chef cooked ham,,,
7495,burger mixins,,,
7496,ahold cream cheese spread with,,,
7497,cooking wine red,,,
7498,slim jim mild stick,,,
7499,bolis fruit coolers apple,,,
7500,beverages cran raspberry juice drink,,,
7501,gatorade energy bar peanut butter,,,
7502,gravy mix dry onion,9.0,37.0,
7503,fruit almonds cheese bites,,,
7504,squash without salt drained boiled,3.0,88.0,90.0
7505,candies starburst sour fruit chews,32.0,8.0,
7506,basil pesto sauce spread,,,
7507,spinach quiche meatless,,,
7508,blood orange mango sparkling white,,,
7509,lemon electrolyte water beverage mix,,,
7510,barilla fusilli,,,
7511,silk unsweetened soymilk,3.0,54.0,
7512,tuttorosso blue puree w basil,,,
7513,cabbage without salt drained boiled,1.0,85.0,67.0
7514,soup prepared with equal volume,12.0,47.0,94.0
7515,chiton gumboots alaska native leathery,0.0,40.0,
7516,cherry tomato with basil,,,
7517,bagels wheat,24.0,16.0,
7518,pure roasted whole grain buckwheat,,,
7519,all natural stone ground down,,,
7520,chia seed drink,,,
7521,signature organic tea bags variety,,,
7522,broccoli raw leaves,1.0,79.0,72.0
7523,gooseberries solids and liquids light,15.0,37.0,
7524,lemon sour mix,,,
7525,caramelized onion gouda bacon dip,,,
7526,salami beef and pork cooked,0.0,35.0,75.0
7527,california pizza kitchen bbq recipe,,,
7528,imitation blueberry muffin mix,17.0,2.0,
7529,coco hydration performance drink,,,
7530,organic traditional egg pasta,,,
7531,assi hot pepper paste for,,,
7532,balsamic reduction,,,
7533,alta langa latur cheese,,,
7534,all natural ice cream,11.0,20.0,
7535,chocolate sweet or dark,,,
7536,organic diced tomatoes,,,
7537,beef panbroiled cooked patty lean,,,
7538,basil herbs crushed tomatoes,,,
7539,turkey cheddar sub sandwich,24.0,22.0,
7540,adirondack seltzer mandarin orange,,,
7541,american beauty enriched macaroni product,,,
7542,birthday cake flavored light ice,,,
7543,pepperidge farm pastry apple,,,
7544,chunk pineapple,1.0,8.0,
7545,bushs chili beans red in,,,
7546,beef and darkgreen leafy gravy,,,
7547,noodles chinese restaurant crunchy flat,14.0,10.0,
7548,caramelized onion hummus with smoked,,,
7549,flounder made with margarine fried,,,
7550,prego sauces parmesan,9.0,31.0,
7551,annies organic white cheddar squares,,,
7552,beef raw all grades trimmed,0.0,41.0,94.0
7553,cascadian farm organic oats and,,,
7554,bon appetit thin crust pizza,,,
7555,sushi topped with eel,,,
7556,diet coke ginger lime bottle,,,
7557,halibut made with oil fried,,,
7558,cereal or granola bar coated,,,
7559,green tea with ginseng honey,,,
7560,dark chocolate red tart cherry,,,
7561,mollusks raw mixed species scallop,1.0,44.0,107.0
7562,swordfish fried coated,,,
7563,finishing sauce blueberry balsamic,,,
7564,fish eggs alaska native whitefish,1.0,72.0,
7565,black cherry flavored premium ice,,,
7566,soup condensed canned green pea,11.0,45.0,86.0
7567,archer farms sugar free chai,,,
7568,ripe bar juice cold pressed,,,
7569,black berry flavored sparkling water,,,
7570,blood orange vinaigrette,,,
7571,beef and darkgreen leafy soybased,,,
7572,potato flour,88.0,29.0,103.0
7573,seafood soup with vegetables including,,,
7574,buitoni four cheese ravioli,,,
7575,del monte chunky mixed fruit,,,
7576,classic enriched egg noodle product,,,
7577,quaker popped chocolate rice snacks,,,
7578,peanuts with salt dryroasted all,,,
7579,spicy ham ciabatta,,,
7580,ahold clear splash sparkling water,,,
7581,high ball,,,
7582,campbells soup on the go,,,
7583,infant formula not specified as,,,
7584,beef ale stew cooking sauce,,,
7585,cereals with salt cooked water,14.0,26.0,55.0
7586,split peas fat added from,,,
7587,tropical mango thirst quencher,,,
7588,figs stewed dried,26.0,43.0,52.0
7589,coffee with nondairy milk cappuccino,,,
7590,organic pineapple crushed in juice,,,
7591,cheerios protein oats and honey,,,
7592,chicken or turkey and darkgreen,,,
7593,ciolo foods basil pesto,,,
7594,stems pieces mushrooms,,,
7595,bow hill blueberry marinade salad,,,
7596,big win natural flavored sparkling,,,
7597,diet tonic drink mix,,,
7598,sweet tea flavored liquid water,,,
7599,soup condensed canned vegetable beef,15.0,17.0,
7600,egg omelet or scrambled not,,,
7601,red gold mama selitas jalapeno,,,
7602,teecino herbal coffee dark roast,,,
7603,huberts lemonade peach glass bottle,,,
7604,cabbage with salt drained boiled,1.0,85.0,67.0
7605,glug,,,
7606,chin assam black tea,,,
7607,gooseberries raw,3.0,60.0,
7608,cookies softtype commercially prepared peanut,,,
7609,shrimp and noodles with gravy,,,
7610,beef egg foo yung,,,
7611,carrots with salt drained boiled,0.0,73.0,
7612,campbells condensed tomato soup,9.0,26.0,
7613,campbells sauces barbecue,,,
7614,annies gluten free cocoa vanilla,,,
7615,fish and rice with mushroom,,,
7616,italian dry salami natural fontina,,,
7617,meat not specified as to,,,
7618,chia black ground,,,
7619,blackberry jalapeno jelly,,,
7620,enchilada sauce red,,,
7621,artichoke jalapeno parmesan premium dip,,,
7622,cheese ravioli,1.0,45.0,
7623,zombie,,,
7624,caesar,10.0,26.0,
7625,handcrafted simple syrup,,,
7626,pretzel chips gluten free hard,,,
7627,hemp seed,,,
7628,papad,7.0,53.0,95.0
7629,baked beans bacon,11.0,20.0,
7630,cocozia coconut water chocolate,,,
7631,delicious chocolate nutrition shake,,,
7632,blue sky energy drink,,,
7633,chicken soup with noodles and,,,
7634,mollusks raw mixed species abalone,3.0,58.0,107.0
7635,beef and darkgreen leafy no,,,
7636,cheese reduced fat cheddar,2.0,41.0,
7637,cranberry juice cocktail bottled,8.0,14.0,0.0
7638,chicken thigh skin eaten grilled,,,
7639,international cafe french vanilla,,,
7640,beef broiled cooked select trimmed,0.0,43.0,154.0
7641,salami beef cooked,0.0,30.0,155.0
7642,salad dressing reduced fat commercial,,,
7643,coffee high protein milk shake,,,
7644,infant formula readytofeed enfamil,,,
7645,chicken thigh from precooked skin,,,
7646,couscous cooked plain,,,
7647,retail alligator meat,,,
7648,caffeine free club soda,,,
7649,kfc skin and breading removed,,,
7650,lemonade liquid water enhancer,,,
7651,biscuit cheese,20.0,15.0,
7652,macaroni or noodles with cheese,,,
7653,oil principal uses icings and,0.0,2.0,0.0
7654,cheeze lovers glutenfree pizza,,,
7655,faraon aloe,,,
7656,all natural cheese,,,
7657,oohrah hydration drink mixed berry,,,
7658,cashew mocha,,,
7659,beef raw choice trimmed to,0.0,40.0,94.0
7660,sugar cinnamon,24.0,56.0,
7661,chocolate flavor protein greens powder,,,
7662,pringles crisps cheeseburger,,,
7663,sour cream regular,,,
7664,aranciata rossa sparkling blood orange,,,
7665,california white jasmine rice,,,
7666,chicken batter fried cooked meat,4.0,26.0,133.0
7667,cereal post shredded wheat,27.0,42.0,
7668,big swirls ice cream,,,
7669,classic vodka sauce,,,
7670,diced tomatoes in sauce,,,
7671,mocha enhanced organic coffee brew,,,
7672,sandwich chicken caesar,24.0,25.0,
7673,progresso light broccoli cheese soup,,,
7674,beef braised cooked all grades,0.0,38.0,94.0
7675,barrio fiesta sauteed shrimp paste,,,
7676,restaurant cheese enchilada mexican,,,
7677,kaffree roma roasted grain beverage,1.0,11.0,
7678,milk low fat,17.0,33.0,87.0
7679,coffee cafe mocha,,,
7680,propel kiwi strawberry water beverage,,,
7681,kelloggs special k crackers sea,,,
7682,creamy horseradish sauce,,,
7683,nance unsweetened frozen,,,
7684,puddings prepared with milk dry,3.0,31.0,139.0
7685,del monte sliced peaches harvest,,,
7686,farro perlato,,,
7687,veal raw tongue variety meats,2.0,52.0,122.0
7688,all natural chocolate chip cookie,,,
7689,ovenroasted turkey breast and mild,,,
7690,molida ground flax seed,,,
7691,apple whiskey barbecue sauce,,,
7692,sodastream sparkling water mix lemon,,,
7693,pork loin center rib roast,0.0,35.0,151.0
7694,chicken breast dip,,,
7695,bean dip hot,,,
7696,rckstr supsour flozcan,,,
7697,caramel apple kit,,,
7698,clams in oil smoked,,,
7699,martini,,,
7700,egg roll with beef andor,,,
7701,del monte chunky mixed fruit,,,
7702,gluten free cranberry orange quick,,,
7703,bushs chili beans red in,,,
7704,santiam no salt whole kernel,,,
7705,cake or cupcake oatmeal,,,
7706,pork braised cooked separable lean,0.0,37.0,150.0
7707,beef demiglace,,,
7708,strawberry lemon flavoured cold water,,,
7709,soft drink root beer,1.0,3.0,0.0
7710,mushrooms raw chanterelle,,,
7711,cheese shredded parmesan,0.0,32.0,147.0
7712,busseto foods classico premium genoa,,,
7713,beans without salt boiled cooked,21.0,52.0,79.0
7714,birthday cake yellow flavored ice,,,
7715,fast foods and bacon cheese,18.0,32.0,113.0
7716,beef braised cooked select trimmed,0.0,39.0,94.0
7717,belvoir fruit farms elderflower cordial,,,
7718,turkey skin eaten smoked light,,,
7719,campbells condensed soup cheddar cheese,5.0,17.0,
7720,beef broiled cooked all grades,0.0,43.0,154.0
7721,egg not specified as to,,,
7722,cookies cream protein powder,,,
7723,barqs red creme soda can,,,
7724,black cherry flavored sparkling water,,,
7725,onions raw welsh,1.0,71.0,42.0
7726,quaker life original multigrain cereal,,,
7727,turkey roasted meat only from,,,
7728,pepsi caffeine free cola liter,,,
7729,cheeseburger not further speficied,,,
7730,cereals readytoeat bagged cereal shredded,,,
7731,buckley farms turkey breast,,,
7732,ramen millet,,,
7733,fitness hydration beverages,,,
7734,plum mighty tots snacks blackberry,,,
7735,gold flaxseed,,,
7736,turnip greens solids and liquids,1.0,81.0,127.0
7737,american heritage cream cheese spread,,,
7738,americas sweet meat sauce,,,
7739,classic cheese duo hand crafted,,,
7740,bushs reduced sodium dark red,,,
7741,chicken or turkey stew with,,,
7742,bulgur with peas corn mango,,,
7743,dropo thirst therapy water enhancer,,,
7744,natural white cheddar cheese seasalted,,,
7745,veal cutlet or steak lean,,,
7746,almond swiss cheese spread,,,
7747,rosati ice coconut water italian,,,
7748,artichoke kalamata olive hummus,,,
7749,larabar peanut chocolate crunchy nut,,,
7750,fruit flavored drink diet with,,,
7751,sevenlayer salad andor bacon eggs,,,
7752,leavening agents straight phosphate doubleacting,,,
7753,gatorade g orange thirst quencher,,,
7754,pepperidge farm pastry peach,,,
7755,casarecce organic italian pasta,,,
7756,fudge vanilla,16.0,3.0,
7757,relish pickle,2.0,24.0,87.0
7758,organic gluten free pasta cassava,,,
7759,oz lays regular,,,
7760,nonalcoholic sparkling craft cocktail mixers,,,
7761,perch made with cooking spray,,,
7762,aioli sriracha,,,
7763,pork roasted heated separable lean,18.0,42.0,132.0
7764,milk with lauric acid oil,8.0,39.0,138.0
7765,cookies chocolate cream covered biscuit,,,
7766,pizza hut sausage handtossed crust,,,
7767,raspberry natural sparkling coconut water,,,
7768,bronze die artisan pasta pappardelle,,,
7769,apricot fruit paste,,,
7770,artisan watermelon lemonade,,,
7771,authentic spinach chicago deep dish,,,
7772,extra spicy crawfish shrimp crab,,,
7773,sodastream sparkling drink mix mint,,,
7774,all natural uncured ham steak,,,
7775,pork roasted cooked separable lean,0.0,26.0,146.0
7776,beef and egg noodles strained,,,
7777,tropicana pure premium ru,,,
7778,lambsquarters with salt drained boiled,,,
7779,chicken fc smartshapes gns brd,,,
7780,pepperidge farm cheddar baked snack,,,
7781,beef braised cooked select trimmed,0.0,39.0,94.0
7782,kashi chewy bars salted caramel,,,
7783,snack classics sharp cheddar cheese,,,
7784,chicken breast skin eaten sauteed,,,
7785,bacon mayonnaise,,,
7786,premium quality medium rice stick,,,
7787,italian style gravy with fully,,,
7788,instant soup shrimp or chicken,,,
