,Food,Matching Food,Category of Matching Food,Number of common flavor molecules
4044,Green Tea,Blue Cheese,Cheese,5
4045,Green Tea,Gruyere Cheese,Cheese,8
4046,Green Tea,Parmesan Cheese,Cheese,5
4047,Green Tea,Swiss Cheese,Cheese,5
4048,Green Tea,Milk,Dairy,5
4049,Green Tea,Chamomile Essential,Essential,5
4050,Green Tea,Lovage Essential,Essential,5
4051,Green Tea,Apple,Fruit,5
4052,Green Tea,Avocado,Fruit,5
4053,Green Tea,Banana,Fruit,5
4054,Green Tea,Red Currant,Currant,5
4055,Green Tea,Fig,Fruit,5
4056,Green Tea,Kiwifruit,Fruit,5
4057,Green Tea,Pear,Fruit,5
4058,Green Tea,Quince,Fruit,5
4059,Roibos Tea,Strawberry,Berry,7
4060,Roibos Tea,Mountain Papaya,Papaya,6
4061,Roibos Tea,Pineapple,Fruit,6
4062,Roibos Tea,White Wine Beverage,Wine,5
4063,Roibos Tea,Coffee Beverage,Beverage,5
4064,Roibos Tea,Blue Cheese,Cheese,5
4065,Roibos Tea,Parmesan Cheese,Cheese,5
4066,Roibos Tea,Apple,Fruit,5
4067,Roibos Tea,Papaya,Fruit,5
4068,Roibos Tea,Butter,Dairy,4
4069,Roibos Tea,Camembert Cheese,Cheese,4
4070,Roibos Tea,Cheddar Cheese,Cheese,4
4071,Roibos Tea,Gruyere Cheese,Cheese,8
4072,Roibos Tea,Hops Oil Essential,Oil,4
4073,Roibos Tea,Peach,Fruit,4
4074,Roibos Tea,Blackberry,Berry,4
4075,Roibos Tea,Beef Processed,Processed,4
4076,Roibos Tea,Peas,Legume,4
4077,Roibos Tea,Tea,Plant,4
4078,Roibos Tea,Capsicum Vegetable,Vegetable,4
4079,Roibos Tea,Potato Vegetable,Vegetable,4
4080,Roibos Tea,Cognac Brandy Beverage,Brandy,3
4081,Roibos Tea,Cheese,Dairy,3
4082,Roibos Tea,Comte Cheese,Cheese,9
4083,Roibos Tea,Cottage Cheese,Cheese,3
4084,Roibos Tea,Cream Cheese,Cheese,3
4085,Roibos Tea,Domiati Cheese,Cheese,3
4086,Roibos Tea,Emmental Cheese,Cheese,3
4087,Roibos Tea,Feta Cheese,Cheese,3
4088,Roibos Tea,Goat Cheese,Cheese,3
4089,Roibos Tea,Limburger Cheese,Cheese,3
4090,Roibos Tea,Mozzarella Cheese,Cheese,3
4091,Roibos Tea,Munster Cheese,Cheese,3
4092,Roibos Tea,Other Cheeses,Cheeses,3
4093,Roibos Tea,Provolone Cheese,Cheese,3
4094,Roibos Tea,Romano Cheese,Cheese,3
4095,Roibos Tea,Roquefort Cheese,Cheese,3
4096,Roibos Tea,Russian Cheese,Cheese,3
4097,Roibos Tea,Sheep Cheese,Cheese,3
4098,Roibos Tea,Swiss Cheese,Cheese,3
4099,Roibos Tea,Tilsit Cheese,Cheese,3
4100,Roibos Tea,Mollusc,Seafood,3
4101,Roibos Tea,Apricot,Fruit,3
4102,Roibos Tea,Cherimoya,Fruit,3
4103,Roibos Tea,Durian,Fruit,3
4104,Roibos Tea,Loquat,Fruit,3
4105,Roibos Tea,Pear,Fruit,3
4106,Roibos Tea,Bartlett Pear,Pear,3
4107,Roibos Tea,Prickly Pear,Pear,3
4108,Roibos Tea,Spineless Monkey Orange,Monkey,3
4109,Roibos Tea,Gooseberry,Berry,3
4110,Roibos Tea,Vanilla Fruit,Fruit,3
4111,Roibos Tea,Buckwheat,Herb,3
4112,Roibos Tea,Peanut,Nut,3
4113,Roibos Tea,Olive,Plant,3
4114,Roibos Tea,Pepper,Spice,3
4115,Roibos Tea,Lettuce,Vegetable,3
4116,Roibos Tea,Tomato Vegetable,Vegetable,3
4117,Roibos Tea,Wort,Beverage,2
4118,Roibos Tea,Plum Brandy Beverage,Brandy,2
4119,Roibos Tea,Rum Beverage,Beverage,2
4120,Roibos Tea,Sherry Beverage,Beverage,2
4121,Roibos Tea,Malt,Cereal,2
4122,Roibos Tea,Trassi,Seafood,2
4123,Roibos Tea,Banana,Fruit,2
4124,Roibos Tea,Coconut,Fruit,2
4125,Roibos Tea,Grape,Fruit,2
4126,Roibos Tea,Kiwifruit,Fruit,2
4127,Roibos Tea,Mango,Fruit,2
4128,Roibos Tea,Melon,Fruit,2
4129,Roibos Tea,Naranjilla,Fruit,2
4130,Roibos Tea,Passionfruit,Fruit,2
4131,Roibos Tea,Plum,Fruit,2
4132,Roibos Tea,Bilberry,Berry,2
4133,Roibos Tea,Cranberry,Berry,2
4134,Roibos Tea,Raspberry,Berry,2
4135,Roibos Tea,Mushroom,Fungus,2
4136,Roibos Tea,Spearmint,Herb,2
4137,Roibos Tea,Chicken,Meat,2
4138,Roibos Tea,Cocoa,Seed,2
4139,Roibos Tea,Honey Plant,Plant,2
4140,Roibos Tea,Endive,Vegetable,2
4141,Roibos Tea,Peppermint,Herb,2
4142,Roibos Tea,Beer Beverage,Beverage,1
4143,Roibos Tea,Brandy Beverage,Beverage,1
4144,Roibos Tea,Anise Brandy Beverage,Brandy,1
4145,Roibos Tea,Apple Brandy Beverage,Brandy,1
4146,Roibos Tea,Armagnac Brandy Beverage,Brandy,1
4147,Roibos Tea,Blackberry Brandy Beverage,Brandy,1
4148,Roibos Tea,Cherry Brandy Beverage,Brandy,1
4149,Roibos Tea,Papaya Brandy Beverage,Brandy,1
4150,Roibos Tea,Pear Brandy Beverage,Brandy,1
4151,Roibos Tea,Raspberry Brandy Beverage,Brandy,1
4152,Roibos Tea,Weinbrand Brandy Beverage,Brandy,1
4153,Roibos Tea,Wine Beverage,Beverage,1
4154,Roibos Tea,Bilberry Wine Beverage,Wine,1
4155,Roibos Tea,Botrytized Wine Beverage,Wine,1
4156,Roibos Tea,Champagne Beverage,Beverage,1
4157,Roibos Tea,Cider Beverage,Beverage,1
4158,Crispbread,Tomato Vegetable,Vegetable,18
4159,Crispbread,Beer Beverage,Beverage,16
4160,Crispbread,Coffee Beverage,Beverage,16
4161,Crispbread,Rice,Cereal,16
4162,Crispbread,Pork,Meat,16
4163,Crispbread,Cocoa,Seed,16
4164,Crispbread,Asparagus Vegetable,Vegetable,16
4165,Crispbread,Guava,Fruit,15
4166,Crispbread,Peach,Fruit,15
4167,Crispbread,Mushroom,Fungus,15
4168,Crispbread,Beef Processed,Processed,15
4169,Crispbread,Peanut,Nut,15
4170,Crispbread,Soybean,Legume,15
4171,Crispbread,Green Beans,Beans,15
4172,Crispbread,Potato Vegetable,Vegetable,15
4173,Crispbread,Rum Beverage,Beverage,14
4174,Crispbread,Mango,Fruit,14
4175,Crispbread,Passionfruit,Fruit,14
4176,Crispbread,Tamarind,Fruit,14
4177,Crispbread,Beans,Legume,14
4178,Crispbread,Lima Beans,Beans,14
4179,Crispbread,Milk,Dairy,13
4180,Crispbread,Melon,Fruit,13
4181,Crispbread,Pineapple,Fruit,13
4182,Crispbread,Okra,Vegetable,13
4183,Crispbread,Barley,Cereal,12
4184,Crispbread,Oats,Cereal,12
4185,Crispbread,Corn,Maize,12
4186,Crispbread,Butter,Dairy,12
4187,Crispbread,Apricot,Fruit,12
4188,Crispbread,Coconut,Fruit,12
4189,Crispbread,Black Currant,Currant,12
4190,Crispbread,Orange,Fruit,12
4191,Crispbread,Cranberry,Berry,12
4192,Crispbread,Raspberry,Berry,12
4193,Crispbread,Buckwheat,Herb,12
4194,Crispbread,Almond,Nut,12
4195,Crispbread,Peas,Legume,12
4196,Crispbread,Pecans,Nut,12
4197,Crispbread,Sesame,Seed,12
4198,Crispbread,Cabbage,Cabbage,12
4199,Crispbread,Mustard,Cabbage,12
4200,Crispbread,Malt,Cereal,11
4201,Crispbread,Shrimp,Seafood,11
4202,Crispbread,Avocado,Fruit,11
4203,Crispbread,Cherimoya,Fruit,11
4204,Crispbread,Grape,Fruit,11
4205,Crispbread,Loquat,Fruit,11
4206,Crispbread,Papaya,Fruit,11
4207,Crispbread,Prickly Pear,Pear,11
4208,Crispbread,Starfruit,Fruit,11
4209,Crispbread,Bilberry,Berry,11
4210,Crispbread,Strawberry,Berry,11
4211,Crispbread,Vanilla Fruit,Fruit,11
4212,Crispbread,Chicken,Meat,11
4213,Crispbread,Ginger,Spice,11
4214,Crispbread,Endive,Vegetable,11
4215,Crispbread,Kohlrabi,Cabbage,11
4216,Crispbread,Capsicum Vegetable,Vegetable,11
4217,Crispbread,Canola Oil Essential,Oil,11
4218,Crispbread,Spinach,Vegetable,11
4219,Crispbread,Egg Animal,Animal,10
4220,Crispbread,Wholewheat Bread,Bread,10
4221,Crispbread,Whisky Beverage,Beverage,10
4222,Crispbread,Apple,Fruit,10
4223,Crispbread,Banana,Fruit,10
4224,Crispbread,Red Currant,Currant,10
4225,Crispbread,Elderberry,Fruit-Berry,10
4226,Crispbread,Kiwifruit,Fruit,10
4227,Crispbread,Litchi,Fruit,10
4228,Crispbread,Plum,Fruit,10
4229,Crispbread,Gooseberry,Berry,10
4230,Crispbread,Lemon Fruit,Fruit,10
4231,Crispbread,Coriander,Herb,10
4232,Crispbread,Dill,Herb,10
4233,Crispbread,Fenugreek,Herb,10
4234,Crispbread,Liqourice,Herb,10
4235,Crispbread,Rhubarb,Herb,10
4236,Crispbread,Rosemary,Herb,10
4237,Crispbread,Brazil Nut,Nut,10
4238,Crispbread,Walnut,Nut,10
4239,Crispbread,Olive,Plant,10
4240,Crispbread,Watercress,Plant,10
4241,Crispbread,Onion,Vegetable,10
4242,Crispbread,Carrot Vegetable,Vegetable,10
4243,Crispbread,Sweet Potato Vegetable,Potato,10
4244,Crispbread,Flaxseed,Seed,10
4245,Crispbread,Poppy Seed,Seed,10
4246,Crispbread,Safflower,Herb,10
4247,Crispbread,Bread,Bakery,9
4248,Crispbread,Cognac Brandy Beverage,Brandy,9
4249,Crispbread,Wine Beverage,Beverage,9
4250,Crispbread,Sherry Beverage,Beverage,9
4251,Crispbread,Cheese,Dairy,9
4252,Crispbread,Artichoke,Flower,9
4253,Crispbread,Dates,Fruit,9
4254,Crispbread,Fig,Fruit,9
4255,Crispbread,Musk Melon,Melon,9
4256,Crispbread,Pear,Fruit,9
4257,Malt,Tea,Plant,70
4258,Malt,Coffee Beverage,Beverage,68
4259,Malt,Cocoa,Seed,65
4260,Malt,Soybean,Legume,62
4261,Malt,Peanut,Nut,56
4262,Malt,Rice,Cereal,55
4263,Malt,Rum Beverage,Beverage,53
4264,Malt,Mushroom,Fungus,53
4265,Malt,Cognac Brandy Beverage,Brandy,52
4266,Malt,Potato Vegetable,Vegetable,49
4267,Malt,Asparagus Vegetable,Vegetable,47
4268,Malt,Guava,Fruit,46
4269,Malt,Beef Processed,Processed,46
4270,Malt,Tomato Vegetable,Vegetable,46
4271,Malt,Green Beans,Beans,45
4272,Malt,White Wine Beverage,Wine,44
4273,Malt,Mango,Fruit,44
4274,Malt,Beans,Legume,44
4275,Malt,Lima Beans,Beans,44
4276,Malt,Sherry Beverage,Beverage,43
4277,Malt,Oats,Cereal,43
4278,Malt,Swiss Cheese,Cheese,43
4279,Malt,Apple,Fruit,43
4280,Malt,Grape,Fruit,42
4281,Malt,Pork,Meat,42
4282,Malt,Filbert,Nut,42
4283,Malt,Wort,Beverage,41
4284,Malt,Red Wine Beverage,Wine,40
4285,Malt,Papaya,Fruit,40
4286,Malt,Butter,Dairy,39
4287,Malt,Cheddar Cheese,Cheese,39
4288,Malt,Russian Cheese,Cheese,39
4289,Malt,Camembert Cheese,Cheese,38
4290,Malt,Milk,Dairy,38
4291,Malt,Malt Whisky Beverage,Whisky,37
4292,Malt,Scotch Whisky Beverage,Whisky,37
4293,Malt,Corn,Maize,37
4294,Malt,Blue Cheese,Cheese,37
4295,Malt,Gruyere Cheese,Cheese,8
4296,Malt,Other Cheeses,Cheeses,37
4297,Malt,Parmesan Cheese,Cheese,37
4298,Malt,Kidney Beans,Beans,37
4299,Malt,Bourbon Whisky Beverage,Whisky,36
4300,Malt,Finnish Whisky Beverage,Whisky,36
4301,Malt,Port Wine Beverage,Wine,36
4302,Malt,Rose Wine Beverage,Wine,9
4303,Malt,Passionfruit,Fruit,36
4304,Malt,Peach,Fruit,36
4305,Malt,Plum Wine Beverage,Wine,35
4306,Malt,Sparkling Wine Beverage,Wine,35
4307,Malt,Shrimp,Seafood,35
4308,Malt,Starfruit,Fruit,35
4309,Malt,Buckwheat,Herb,35
4310,Malt,Pecans,Nut,35
4311,Malt,Wine Beverage,Beverage,34
4312,Malt,Bilberry Wine Beverage,Wine,34
4313,Malt,Botrytized Wine Beverage,Wine,34
4314,Malt,Champagne Beverage,Beverage,34
4315,Malt,Strawberry Wine Beverage,Wine,34
4316,Malt,Emmental Cheese,Cheese,34
4317,Malt,Feta Cheese,Cheese,34
4318,Malt,Limburger Cheese,Cheese,34
4319,Malt,Mozzarella Cheese,Cheese,34
4320,Malt,Tilsit Cheese,Cheese,34
4321,Malt,Melon,Fruit,34
4322,Malt,Strawberry,Berry,34
4323,Malt,Chicken,Meat,34
4324,Malt,Cheese,Dairy,33
4325,Malt,Comte Cheese,Cheese,9
4326,Malt,Cottage Cheese,Cheese,33
4327,Malt,Cream Cheese,Cheese,33
4328,Malt,Domiati Cheese,Cheese,33
4329,Malt,Goat Cheese,Cheese,33
4330,Malt,Munster Cheese,Cheese,33
4331,Malt,Provolone Cheese,Cheese,33
4332,Malt,Romano Cheese,Cheese,33
4333,Malt,Roquefort Cheese,Cheese,33
4334,Malt,Sheep Cheese,Cheese,33
4335,Malt,Banana,Fruit,33
4336,Malt,Coconut,Fruit,33
4337,Malt,Pineapple,Fruit,33
4338,Malt,Tamarind,Fruit,33
4339,Malt,Whisky Beverage,Beverage,32
4340,Malt,Canadian Whisky Beverage,Whisky,32
4341,Malt,Japanese Whisky Beverage,Whisky,32
4342,Malt,Black Currant,Currant,32
4343,Malt,Vanilla Fruit,Fruit,32
4344,Malt,Sesame,Seed,32
4345,Malt,Capsicum Vegetable,Vegetable,32
4346,Malt,Barley,Cereal,31
4347,Malt,Bread,Bakery,30
4348,Malt,Peas,Legume,30
4349,Malt,Clam,Seafood,29
4350,Malt,Orange,Fruit,29
4351,Malt,Cranberry,Berry,29
4352,Malt,Raspberry,Berry,29
4353,Malt,Egg Animal,Animal,28
4354,Malt,Apricot,Fruit,28
4355,Malt,Celery,Spice,28
4356,Oats,Soybean,Legume,135
4357,Oats,Rice,Cereal,133
4358,Oats,Potato Vegetable,Vegetable,130
4359,Oats,Mushroom,Fungus,127
4360,Oats,Tomato Vegetable,Vegetable,127
4361,Oats,Corn,Maize,126
4362,Oats,Green Beans,Beans,126
4363,Oats,Cocoa,Seed,125
4364,Oats,Grape,Fruit,124
4365,Oats,Guava,Fruit,124
4366,Oats,Mango,Fruit,124
4367,Oats,Lima Beans,Beans,122
4368,Oats,Peanut,Nut,122
4369,Oats,Peas,Legume,121
4370,Oats,Beans,Legume,120
4371,Oats,Asparagus Vegetable,Vegetable,120
4372,Oats,Apple,Fruit,119
4373,Oats,Buckwheat,Herb,119
4374,Oats,Capsicum Vegetable,Vegetable,119
4375,Oats,Fig,Fruit,118
4376,Oats,Apricot,Fruit,117
4377,Oats,Papaya,Fruit,117
4378,Oats,Pecans,Nut,117
4379,Oats,Ginger,Spice,116
4380,Oats,Carrot Vegetable,Vegetable,116
4381,Oats,Orange,Fruit,115
4382,Oats,Starfruit,Fruit,115
4383,Oats,Tamarind,Fruit,115
4384,Oats,Black Currant,Currant,114
4385,Oats,Coriander,Herb,114
4386,Oats,Spearmint,Herb,114
4387,Oats,Barley,Cereal,113
4388,Oats,Melon,Fruit,113
4389,Oats,Peach,Fruit,113
4390,Oats,Plum,Fruit,113
4391,Oats,Dill,Herb,113
4392,Oats,Strawberry,Berry,112
4393,Oats,Coconut,Fruit,111
4394,Oats,Passionfruit,Fruit,111
4395,Oats,Banana,Fruit,110
4396,Oats,Pineapple,Fruit,110
4397,Oats,Raspberry,Berry,110
4398,Oats,Celery,Spice,110
4399,Oats,Loquat,Fruit,109
4400,Oats,Cranberry,Berry,109
4401,Oats,Vanilla Fruit,Fruit,109
4402,Oats,Basil,Herb,109
4403,Oats,Olive,Plant,109
4404,Oats,Spinach,Vegetable,109
4405,Oats,Cardamom,Spice,108
4406,Oats,Gooseberry,Berry,107
4407,Oats,Rosemary,Herb,107
4408,Oats,Sesame,Seed,107
4409,Oats,Oregano,Spice,107
4410,Oats,Onion,Vegetable,107
4411,Oats,Peppermint,Herb,107
4412,Oats,Cabbage,Cabbage,107
4413,Oats,Kohlrabi,Cabbage,107
4414,Oats,Poppy Seed,Seed,107
4415,Oats,Bread,Bakery,106
4416,Oats,Chamomile Essential,Essential,106
4417,Oats,Red Currant,Currant,106
4418,Oats,Bilberry,Berry,106
4419,Oats,Lemon Fruit,Fruit,106
4420,Oats,Lime Fruit,Fruit,106
4421,Oats,Clove,Spice,106
4422,Oats,Parsley,Spice,106
4423,Oats,Leek,Vegetable,106
4424,Oats,Beetroot Vegetable,Vegetable,106
4425,Oats,Hyssop Oil Essential,Oil,105
4426,Oats,Lovage Essential,Essential,105
4427,Oats,Kiwifruit,Fruit,105
4428,Oats,Quince,Fruit,105
4429,Oats,Blueberry,Berry,105
4430,Oats,Sour Cherry,Cherry,105
4431,Oats,Grapefruit Fruit,Fruit,105
4432,Oats,Mandarin Orange Fruit,Orange,105
4433,Oats,Mint,Herb,105
4434,Oats,Walnut,Nut,105
4435,Oats,Endive,Vegetable,105
4436,Oats,Lettuce,Vegetable,105
4437,Oats,Cauliflower,Cabbage,105
4438,Oats,Avocado,Fruit,104
4439,Oats,Elderberry,Fruit-Berry,104
4440,Oats,Blackberry,Berry,104
4441,Oats,Thyme,Herb,104
4442,Oats,Almond,Nut,104
4443,Oats,Cinnamon,Spice,104
4444,Oats,Nutmeg,Spice,104
4445,Oats,Okra,Vegetable,104
4446,Oats,Broccoli,Cabbage,104
4447,Oats,Cucumber,Gourd,104
4448,Oats,Parsnip Vegetable,Vegetable,104
4449,Oats,Canola Oil Essential,Oil,104
4450,Oats,Safflower,Herb,104
4451,Oats,Cherimoya,Fruit,103
4452,Oats,Pear,Fruit,103
4453,Oats,Prickly Pear,Pear,103
4454,Oats,Fennel,Herb,103
4455,Rice,Soybean,Legume,152
4456,Rice,Cocoa,Seed,147
4457,Rice,Tomato Vegetable,Vegetable,146
4458,Rice,Mushroom,Fungus,144
4459,Rice,Guava,Fruit,143
4460,Rice,Potato Vegetable,Vegetable,143
4461,Rice,Mango,Fruit,139
4462,Rice,Green Beans,Beans,137
4463,Rice,Apple,Fruit,135
4464,Rice,Buckwheat,Herb,135
4465,Rice,Lima Beans,Beans,134
4466,Rice,Peanut,Nut,134
4467,Rice,Oats,Cereal,133
4468,Rice,Grape,Fruit,133
4469,Rice,Corn,Maize,132
4470,Rice,Beans,Legume,132
4471,Rice,Asparagus Vegetable,Vegetable,131
4472,Rice,Papaya,Fruit,129
4473,Rice,Strawberry,Berry,128
4474,Rice,Peas,Legume,126
4475,Rice,Pecans,Nut,126
4476,Rice,Coconut,Fruit,125
4477,Rice,Peach,Fruit,125
4478,Rice,Cranberry,Berry,125
4479,Rice,Passionfruit,Fruit,124
4480,Rice,Starfruit,Fruit,124
4481,Rice,Capsicum Vegetable,Vegetable,123
4482,Rice,Tamarind,Fruit,122
4483,Rice,Ginger,Spice,122
4484,Rice,Black Currant,Currant,121
4485,Rice,Coriander,Herb,121
4486,Rice,Apricot,Fruit,120
4487,Rice,Banana,Fruit,120
4488,Rice,Melon,Fruit,120
4489,Rice,Orange,Fruit,120
4490,Rice,Pineapple,Fruit,119
4491,Rice,Plum,Fruit,119
4492,Rice,Vanilla Fruit,Fruit,119
4493,Rice,Raspberry,Berry,118
4494,Rice,Celery,Spice,118
4495,Rice,Dill,Herb,117
4496,Rice,Cardamom,Spice,117
4497,Rice,Grapefruit Fruit,Fruit,116
4498,Rice,Fig,Fruit,115
4499,Rice,Sesame,Seed,115
4500,Rice,Carrot Vegetable,Vegetable,115
4501,Rice,Bread,Bakery,114
4502,Rice,Loquat,Fruit,114
4503,Rice,Olive,Plant,114
4504,Rice,Avocado,Fruit,113
4505,Rice,Lemon Fruit,Fruit,113
4506,Rice,Spearmint,Herb,113
4507,Rice,Leek,Vegetable,113
4508,Rice,Onion,Vegetable,113
4509,Rice,Red Currant,Currant,112
4510,Rice,Kohlrabi,Cabbage,112
4511,Rice,Barley,Cereal,111
4512,Rice,Blueberry,Berry,111
4513,Rice,Mandarin Orange Fruit,Orange,111
4514,Rice,Bilberry,Berry,110
4515,Rice,Lime Fruit,Fruit,110
4516,Rice,Thyme,Herb,110
4517,Rice,Walnut,Nut,110
4518,Rice,Cabbage,Cabbage,110
4519,Rice,Poppy Seed,Seed,110
4520,Rice,Rosemary,Herb,109
4521,Rice,Endive,Vegetable,109
4522,Rice,Peppermint,Herb,109
4523,Rice,Spinach,Vegetable,109
4524,Rice,Sour Cherry,Cherry,108
4525,Rice,Gooseberry,Berry,108
4526,Rice,Basil,Herb,108
4527,Rice,Oregano,Spice,108
4528,Rice,Okra,Vegetable,108
4529,Rice,Cucumber,Gourd,108
4530,Rice,Lovage Essential,Essential,107
4531,Rice,Blackberry,Berry,107
4532,Rice,Fenugreek,Herb,107
4533,Rice,Clove,Spice,107
4534,Rice,Parsley,Spice,107
4535,Rice,Cauliflower,Cabbage,107
4536,Rice,Canola Oil Essential,Oil,107
4537,Rice,Lotus Essential,Essential,107
4538,Rice,Chamomile Essential,Essential,106
4539,Rice,Cherimoya,Fruit,106
4540,Rice,Elderberry,Fruit-Berry,106
4541,Rice,Kiwifruit,Fruit,106
4542,Rice,Quince,Fruit,106
4543,Rice,Pepper,Spice,106
4544,Rice,Lettuce,Vegetable,106
4545,Rice,Pear,Fruit,105
4546,Rice,Laurel,Plant,105
4547,Rice,Marjoram,Spice,105
4548,Rice,Nutmeg,Spice,105
4549,Rice,Mustard,Cabbage,105
4550,Rice,Flaxseed,Seed,105
4551,Rice,Wheat,Cereal,105
4552,Rice,Lingonberry,Berry,104
4553,Rice,Lemon Balm,Balm,104
4554,Corn,Potato Vegetable,Vegetable,142
4555,Corn,Rice,Cereal,132
4556,Corn,Grape,Fruit,132
4557,Corn,Fig,Fruit,131
4558,Corn,Cocoa,Seed,130
4559,Corn,Soybean,Legume,130
4560,Corn,Capsicum Vegetable,Vegetable,130
4561,Corn,Tomato Vegetable,Vegetable,130
4562,Corn,Apple,Fruit,129
4563,Corn,Guava,Fruit,129
4564,Corn,Peanut,Nut,128
4565,Corn,Carrot Vegetable,Vegetable,128
4566,Corn,Oats,Cereal,126
4567,Corn,Ginger,Spice,125
4568,Corn,Orange,Fruit,124
4569,Corn,Mango,Fruit,123
4570,Corn,Tamarind,Fruit,123
4571,Corn,Asparagus Vegetable,Vegetable,123
4572,Corn,Black Currant,Currant,122
4573,Corn,Mushroom,Fungus,121
4574,Corn,Basil,Herb,121
4575,Corn,Peas,Legume,121
4576,Corn,Green Beans,Beans,121
4577,Corn,Peach,Fruit,120
4578,Corn,Buckwheat,Herb,120
4579,Corn,Coriander,Herb,120
4580,Corn,Dill,Herb,119
4581,Corn,Pecans,Nut,119
4582,Corn,Clove,Spice,119
4583,Corn,Apricot,Fruit,118
4584,Corn,Plum,Fruit,118
4585,Corn,Bilberry,Berry,118
4586,Corn,Spearmint,Herb,118
4587,Corn,Papaya,Fruit,117
4588,Corn,Blueberry,Berry,117
4589,Corn,Cranberry,Berry,117
4590,Corn,Strawberry,Berry,117
4591,Corn,Celery,Spice,117
4592,Corn,Pineapple,Fruit,116
4593,Corn,Rosemary,Herb,116
4594,Corn,Walnut,Nut,116
4595,Corn,Olive,Plant,116
4596,Corn,Chamomile Essential,Essential,115
4597,Corn,Banana,Fruit,115
4598,Corn,Coconut,Fruit,115
4599,Corn,Beans,Legume,115
4600,Corn,Peppermint,Herb,115
4601,Corn,Barley,Cereal,114
4602,Corn,Red Currant,Currant,114
4603,Corn,Starfruit,Fruit,114
4604,Corn,Raspberry,Berry,114
4605,Corn,Mandarin Orange Fruit,Orange,114
4606,Corn,Oregano,Spice,114
4607,Corn,Lemon Fruit,Fruit,113
4608,Corn,Pepper,Spice,113
4609,Corn,Cherimoya,Fruit,112
4610,Corn,Melon,Fruit,112
4611,Corn,Lima Beans,Beans,112
4612,Corn,Laurel,Plant,112
4613,Corn,Cardamom,Spice,112
4614,Corn,Cinnamon,Spice,112
4615,Corn,Cabbage,Cabbage,112
4616,Corn,Lovage Essential,Essential,111
4617,Corn,Avocado,Fruit,111
4618,Corn,Marjoram,Spice,111
4619,Corn,Pomegranate,Fruit,111
4620,Corn,Spinach,Vegetable,111
4621,Corn,Kiwifruit,Fruit,110
4622,Corn,Lime Fruit,Fruit,110
4623,Corn,Vanilla Fruit,Fruit,110
4624,Corn,Lemon Balm,Balm,110
4625,Corn,Sage,Herb,110
4626,Corn,Thyme,Herb,110
4627,Corn,Nutmeg,Spice,110
4628,Corn,Parsley,Spice,110
4629,Corn,Broccoli,Cabbage,110
4630,Corn,Carom Seed,Seed,110
4631,Corn,Wheat,Cereal,110
4632,Corn,Hyssop Oil Essential,Oil,109
4633,Corn,Elderberry,Fruit-Berry,109
4634,Corn,Passionfruit,Fruit,109
4635,Corn,Fennel,Herb,109
4636,Corn,Almond,Nut,109
4637,Corn,Cassia,Spice,109
4638,Corn,Lettuce,Vegetable,109
4639,Corn,Cauliflower,Cabbage,109
4640,Corn,Cucumber,Gourd,109
4641,Corn,Poppy Seed,Seed,109
4642,Corn,Sunflower,Flower,109
4643,Corn,Pear,Fruit,108
4644,Corn,Quince,Fruit,108
4645,Corn,Gooseberry,Berry,108
4646,Corn,Anise,Spice,108
4647,Corn,Star Anise,Anise,108
4648,Corn,Cumin,Spice,108
4649,Corn,Beetroot Vegetable,Vegetable,108
4650,Corn,Red Raspberry,Raspberry,108
4651,Corn,Grapefruit Fruit,Fruit,107
4652,Corn,Mint,Herb,107
4653,Corn Oil,Cognac Brandy Beverage,Brandy,38
4654,Corn Oil,White Wine Beverage,Wine,33
4655,Corn Oil,Apple,Fruit,32
4656,Corn Oil,Grape,Fruit,32
4657,Corn Oil,Beer Beverage,Beverage,31
4658,Corn Oil,Rice,Cereal,31
4659,Corn Oil,Guava,Fruit,30
4660,Corn Oil,Rum Beverage,Beverage,29
4661,Corn Oil,Sparkling Wine Beverage,Wine,29
4662,Corn Oil,Red Wine Beverage,Wine,28
4663,Corn Oil,Beans,Legume,28
4664,Corn Oil,Lima Beans,Beans,28
4665,Corn Oil,Green Beans,Beans,28
4666,Corn Oil,Rose Wine Beverage,Wine,9
4667,Corn Oil,Parmesan Cheese,Cheese,27
4668,Corn Oil,Mango,Fruit,27
4669,Corn Oil,Strawberry,Berry,27
4670,Corn Oil,Mushroom,Fungus,27
4671,Corn Oil,Cocoa,Seed,27
4672,Corn Oil,Tomato Vegetable,Vegetable,27
4673,Corn Oil,Scotch Whisky Beverage,Whisky,26
4674,Corn Oil,Wine Beverage,Beverage,26
4675,Corn Oil,Bilberry Wine Beverage,Wine,26
4676,Corn Oil,Botrytized Wine Beverage,Wine,26
4677,Corn Oil,Champagne Beverage,Beverage,26
4678,Corn Oil,Plum Wine Beverage,Wine,26
4679,Corn Oil,Port Wine Beverage,Wine,26
4680,Corn Oil,Sherry Beverage,Beverage,26
4681,Corn Oil,Strawberry Wine Beverage,Wine,26
4682,Corn Oil,Gruyere Cheese,Cheese,8
4683,Corn Oil,Passionfruit,Fruit,26
4684,Corn Oil,Malt Whisky Beverage,Whisky,25
4685,Corn Oil,Blue Cheese,Cheese,25
4686,Corn Oil,Raspberry,Berry,25
4687,Corn Oil,Soybean,Legume,25
4688,Corn Oil,Whisky Beverage,Beverage,24
4689,Corn Oil,Bourbon Whisky Beverage,Whisky,24
4690,Corn Oil,Canadian Whisky Beverage,Whisky,24
