Name,Ash,Calcium,Calories,Carbohydrate,Copper,Fat,Iron,Magnesium,Potassium,Protein,Saturated_fatty_acids,Sodium,Vitamin_A_RAE,Vitamin_B6,Water,Zinc,Fatty_acids_total_trans,Manganese,Vitamin_D,Glycemic_Load,Completeness_Score,Amino_Acid_Score,Category,Sub_Category,cluster,Cohort
cookies made with rice cereal chocolate,0.71,19.84,273.0,39.22,0.11,11.997,1.54,23.56,140.74,2.0,7.0,130.2,0.0,0.203,8.07,0.42,0.0,,0.0,,,,Branded Foods,Crusts_AND_Dough,3,Packaged
waffles toasted ready toheat frozen plain,0.94,87.03,88.0,13.97,0.01,2.724,1.96,6.8,40.82,2.04,0.464,132.39,112.83,0.296,8.67,0.15,,0.085,0.0,,,,Branded Foods,,0,Confectionaries
beverages canned clam and tomato juice,0.26,2.42,15.0,3.31,0.01,0.06,0.05,1.51,26.88,0.18,0.0,109.32,2.11,0.018,26.39,0.02,,0.01,,,,,Foundation Foods,Tomatoes,2,Frozen & Preserved
cookies special dietary peanut butter sandwich,0.4,12.19,152.0,14.4,0.08,9.639,0.72,14.46,83.35,2.83,1.4,116.8,0.0,0.022,1.05,0.29,,0.2,,3.0,16.0,72.0,Branded Foods,Crusts_AND_Dough,0,Confectionaries
leeks raw bulb and lower leafportion,0.93,52.51,54.0,12.59,0.11,0.267,1.87,24.92,160.2,1.33,0.036,17.8,73.87,0.207,73.87,0.11,0.0,0.428,0.0,,,,Branded Foods,,3,Packaged
butterbur with salt drained boiled cooked,0.88,59.0,8.0,2.16,0.06,0.02,0.1,8.0,354.0,0.23,,240.0,1.0,0.052,96.7,0.09,0.0,0.156,0.0,0.0,46.0,,Branded Foods,Gravy_Mix,2,Frozen & Preserved
egg pasteurized salted frozen raw whole,2.88,15.4,39.0,0.23,0.02,2.82,0.48,2.52,35.84,3.07,0.89,1025.64,41.72,0.063,18.99,0.36,0.025,0.009,0.42,,,,Branded Foods,Honey,2,Frozen & Preserved
cake dry mix enriched white puddingtype,0.62,21.83,120.0,22.94,0.02,2.693,0.39,2.55,20.41,1.11,0.678,188.53,0.0,0.005,0.99,0.07,,0.079,0.0,,,,Branded Foods,Powdered_Drinks,5,Unhealthy & Over-indulgent
cauliflower with salt drained boiled cooked,0.37,9.92,14.0,2.55,0.01,0.279,0.2,5.58,88.04,1.14,0.043,150.04,0.62,0.107,57.66,0.11,0.0,0.082,0.0,1.0,74.0,102.0,Branded Foods,Powdered_Drinks,2,Frozen & Preserved
babyfood junior cherry vanilla pudding dessert,0.06,1.42,20.0,5.22,0.01,0.057,0.05,0.57,9.36,0.06,0.016,0.0,5.1,0.003,22.96,0.01,,,0.0,9.0,15.0,,Standard Reference Foods,Baked_Products,1,Whole Nutrient
duck raw meat and skin domesticated,0.58,9.35,343.0,0.0,0.2,33.439,2.04,12.75,177.65,9.77,11.237,53.55,42.5,0.161,41.23,1.16,,0.014,0.59,0.0,20.0,137.0,Branded Foods,Honey,1,Whole Nutrient
goose raw meat and skin domesticated,0.58,9.35,343.0,0.0,0.2,33.439,2.04,12.75,177.65,9.77,11.237,53.55,42.5,0.161,41.23,1.16,,0.014,0.59,0.0,25.0,152.0,Branded Foods,Honey,1,Whole Nutrient
kale without salt drained boiled cooked,1.01,38.0,20.0,2.93,0.11,0.64,2.08,89.0,321.0,1.83,,3.0,174.0,0.1,93.6,0.17,0.0,0.303,0.0,3.0,88.0,91.0,Branded Foods,Honey,1,Whole Nutrient
dock without salt drained boiled cooked,1.01,38.0,20.0,2.93,0.11,0.64,2.08,89.0,321.0,1.83,,3.0,174.0,0.1,93.6,0.17,0.0,0.303,0.0,0.0,84.0,,Branded Foods,Honey,1,Whole Nutrient
doughnuts sugared or glazed plain caketype,0.43,17.01,121.0,14.4,0.03,6.492,0.3,4.82,28.92,1.47,1.68,113.97,0.85,0.008,5.56,0.12,,0.095,,,,,Branded Foods,Honey,0,Confectionaries
sesbania flower with salt steamed cooked,0.43,22.88,22.0,5.3,,0.052,0.58,12.48,111.28,1.19,,256.88,0.0,,97.03,,0.0,,0.0,2.0,54.0,88.0,Branded Foods,,2,Frozen & Preserved
sesbania flower without salt steamed cooked,0.43,22.88,22.0,5.3,,0.052,0.58,12.48,111.28,1.19,,256.88,0.0,,97.03,,0.0,,0.0,2.0,54.0,88.0,Branded Foods,,2,Frozen & Preserved
potatoes unprepared dry mix au gratin,2.11,80.86,82.0,19.32,0.06,0.962,0.42,16.64,257.4,2.31,0.604,544.7,14.04,0.039,1.29,0.23,,0.153,0.0,75.0,47.0,,Branded Foods,,2,Frozen & Preserved
bologna low fat beef and pork,4.42,15.18,317.0,3.59,0.11,26.634,0.91,16.56,215.28,15.87,10.085,1529.04,0.0,0.248,87.49,2.07,,,0.69,1.0,26.0,,Foundation Foods,Tomatoes,2,Frozen & Preserved
sesbania flower with salt steamed cooked,0.29,22.88,23.0,5.44,,0.052,0.58,12.48,111.28,1.19,,11.44,0.0,,97.03,,0.0,,0.0,2.0,54.0,88.0,Branded Foods,,3,Packaged
sesbania flower without salt steamed cooked,0.29,22.88,23.0,5.44,,0.052,0.58,12.48,111.28,1.19,,11.44,0.0,,97.03,,0.0,,0.0,2.0,54.0,88.0,Branded Foods,,3,Packaged
babyfood fruit filling fortified cereal bar,1.26,200.07,65.0,13.04,0.02,1.007,2.5,3.61,34.2,1.03,0.086,29.83,2.66,0.21,2.66,0.11,0.004,0.088,0.0,,,,Standard Reference Foods,Baked_Products,3,Packaged
babyfood junior turkey and rice dinner,0.08,3.84,9.0,1.53,0.0,0.147,0.07,1.44,13.76,0.38,0.038,3.68,15.04,0.008,13.86,0.08,,0.019,0.0,1.0,52.0,,Standard Reference Foods,Baked_Products,3,Packaged
turnip greens and turnips unprepared frozen,0.79,108.3,20.0,3.22,0.05,0.18,1.55,17.1,77.9,2.34,0.03,17.1,289.75,0.07,88.47,0.15,0.0,0.209,0.0,3.0,84.0,112.0,Branded Foods,,0,Confectionaries
beets solids and liquids canned pickled,2.18,24.97,148.0,36.96,0.26,0.182,0.93,34.05,261.05,1.82,0.03,338.23,4.54,0.114,185.87,0.59,0.0,0.499,0.0,12.0,38.0,71.0,Foundation Foods,Tomatoes,5,Unhealthy & Over-indulgent
shortening frying heavy duty palm hydrogenated,0.0,0.0,113.0,0.0,,12.8,0.0,0.0,0.0,0.0,6.08,0.0,0.0,0.0,0.0,0.0,,,,0.0,3.0,0.0,Branded Foods,,1,Whole Nutrient
50oz lays regular by frito lay,,0.0,80.0,8.0,,5.0,0.0,8.04,170.05,1.0,0.501,79.95,,0.08,,,0.0,,,,,,,,0,Confectionaries
salad dressing reduced calorie italian dressing,0.42,0.84,28.0,0.94,0.0,2.8,0.02,0.28,4.62,0.04,0.403,150.36,0.0,0.004,9.8,0.01,,0.003,0.0,2.0,6.0,,Branded Foods,,2,Frozen & Preserved
olive garden chicken parmigiana without pasta,7.72,288.8,641.0,37.33,0.19,34.139,1.76,76.0,842.08,46.6,6.424,1900.0,112.48,0.556,178.2,2.61,0.289,0.392,,,,,Branded Foods,,5,Unhealthy & Over-indulgent
crackers egg and onion matzo,0.26,5.11,56.0,10.95,0.01,0.554,0.62,4.26,11.79,1.42,0.133,40.47,0.99,0.016,1.02,0.1,,0.116,,14.0,33.0,55.0,Branded Foods,Crusts_AND_Dough,3,Packaged
potatoes with salt flesh baked,0.59,3.05,57.0,13.15,0.13,0.061,0.21,15.25,238.51,1.2,0.016,147.01,0.0,0.184,46.01,0.18,0.0,0.098,0.0,6.0,42.0,109.0,Branded Foods,,5,Unhealthy & Over-indulgent
chicken panbrowned cooked crumbles ground,1.33,6.8,161.0,0.0,0.05,9.282,0.79,23.8,575.45,19.79,2.643,63.75,0.0,0.457,55.18,1.63,0.074,0.014,,,,,Branded Foods,Canned_Tuna,4,Keto & Strength
duck raw meat only domesticated,1.45,15.07,185.0,1.29,0.35,8.152,3.29,26.03,371.27,25.04,3.178,101.38,32.88,0.466,101.06,2.6,,0.026,0.14,0.0,58.0,147.0,Branded Foods,Honey,4,Keto & Strength
candies milk chocolate coated raisins,2.7,154.8,702.0,123.12,0.67,26.64,3.08,81.0,925.2,7.38,18.49,64.8,52.2,0.133,20.16,2.25,,0.644,0.0,68.0,18.0,,Branded Foods,Powdered_Drinks,1,Whole Nutrient
cheese part skim milk ricotta,1.43,337.28,171.0,6.37,0.04,9.808,0.55,18.6,155.0,14.12,6.109,122.76,132.68,0.025,92.27,1.66,,0.012,0.12,9.0,38.0,135.0,Branded Foods,Other_Condiments,0,Confectionaries
babyfood apple and prune juice,0.08,1.87,14.0,3.54,0.02,0.062,0.12,1.87,28.08,0.03,0.012,0.0,0.0,0.011,27.49,0.01,,,0.0,2.0,24.0,,Standard Reference Foods,Baked_Products,1,Whole Nutrient
babyfood apple and grape juice,0.08,1.87,14.0,3.54,0.02,0.062,0.12,1.87,28.08,0.03,0.012,0.0,0.0,0.011,27.49,0.01,,,0.0,1.0,23.0,,Standard Reference Foods,Baked_Products,1,Whole Nutrient
pie crust dry mix standardtype,0.57,17.29,147.0,14.77,0.02,8.902,0.63,4.25,18.14,1.96,2.261,213.48,0.0,0.018,2.15,0.11,,0.089,,,,,Branded Foods,,0,Confectionaries
restaurant hash browns family style,1.96,15.98,185.0,24.99,0.06,8.451,0.53,24.44,391.04,2.34,1.588,439.92,,0.191,56.26,0.27,0.045,0.158,,,,,Branded Foods,,5,Unhealthy & Over-indulgent
alcoholic beverage canned whiskey sour,0.03,0.0,37.0,4.13,0.0,0.0,0.0,0.31,3.39,0.0,,13.55,0.31,0.0,23.69,0.02,0.0,0.002,,1.0,3.0,0.0,,,3,Packaged
pepperoni sliced beef and pork,4.03,16.15,428.0,1.0,0.08,39.338,1.13,15.3,232.9,16.36,15.052,1344.7,0.0,0.308,24.27,2.07,1.298,0.913,1.1,,,,Branded Foods,,5,Unhealthy & Over-indulgent
turkey raw all classes gizzard,1.05,18.08,125.0,0.0,0.25,3.808,3.14,21.47,209.05,21.24,1.05,166.11,51.98,0.224,87.54,3.42,0.035,0.096,0.56,0.0,52.0,,Branded Foods,,0,Confectionaries
english muffins whole grain white,0.91,79.8,140.0,28.6,0.09,0.998,1.44,18.81,74.1,4.0,0.0,220.02,0.0,0.032,22.5,0.55,0.0,,0.0,,,,Branded Foods,Honey,5,Unhealthy & Over-indulgent
leavening agents compressed bakers yeast,0.31,3.23,18.0,3.08,0.03,0.323,0.55,6.8,102.17,1.43,0.041,5.1,0.0,0.073,11.73,1.69,,0.034,0.0,1.0,64.0,132.0,Branded Foods,,3,Packaged
babyfood toddler macaroni and cheese,1.13,115.26,93.0,12.66,0.05,2.938,0.68,10.17,20.34,3.96,1.729,298.32,21.47,0.057,92.32,0.49,0.0,,0.0,2.0,37.0,,Standard Reference Foods,Baked_Products,5,Unhealthy & Over-indulgent
sweeteners packets equal aspartame tabletop,0.0,0.0,13.0,3.12,0.0,0.0,0.0,0.0,0.14,0.08,0.0,0.0,0.0,0.0,0.31,0.0,,0.0,0.0,,,,Branded Foods,,1,Whole Nutrient
babyfood strained chicken noodle dinner,0.06,4.32,12.0,1.25,0.01,0.515,0.08,2.08,22.88,0.56,0.055,4.0,17.6,0.011,13.61,0.07,,0.032,0.02,1.0,55.0,,Standard Reference Foods,Baked_Products,4,Keto & Strength
alcoholic beverage canned tequila sunrise,0.03,0.0,34.0,3.51,0.01,0.031,0.01,2.18,3.11,0.09,,17.73,1.55,0.016,24.51,0.19,0.0,0.004,,1.0,16.0,,,,3,Packaged
candies with peanut butter honeycombed,0.46,8.4,189.0,26.96,0.07,8.072,0.28,26.4,88.0,3.49,2.294,69.6,0.0,0.069,1.02,0.41,0.012,0.262,0.0,,,,Branded Foods,Powdered_Drinks,3,Packaged
beverages protein powder whey based,3.38,150.08,113.0,2.0,0.02,0.499,0.36,62.4,160.0,25.0,0.25,49.92,0.0,0.194,1.1,1.98,0.0,,0.0,,,,Foundation Foods,Tomatoes,4,Keto & Strength
taro shoots without salt cooked,0.98,19.6,20.0,4.48,0.13,0.112,0.57,11.2,481.6,1.02,0.022,2.8,4.2,0.157,133.42,0.76,0.0,0.182,0.0,2.0,67.0,,Branded Foods,,1,Whole Nutrient
puddings instant dry mix vanilla,3.86,11.88,373.0,91.97,0.09,0.594,0.01,0.99,11.88,0.0,0.428,1386.0,0.99,0.002,2.57,0.06,,0.0,0.0,65.0,4.0,0.0,Branded Foods,,2,Frozen & Preserved
babyfood sweet potatoes strained vegetables,1.79,35.84,128.0,29.57,0.18,0.224,0.83,29.12,589.12,2.46,0.047,49.28,721.28,0.208,189.95,0.47,,,0.0,11.0,54.0,78.0,Standard Reference Foods,Baked_Products,3,Packaged
lima beans raw immature seeds,2.95,53.04,176.0,31.47,0.5,1.342,4.9,90.48,728.52,10.67,0.309,12.48,15.6,0.318,109.57,1.22,0.0,1.895,0.0,13.0,70.0,88.0,Branded Foods,,1,Whole Nutrient
oil salad or cooking soybean,0.0,0.0,120.0,0.0,0.0,13.6,0.01,0.0,0.0,0.0,2.128,0.0,0.0,0.0,0.0,0.0,0.072,0.0,0.0,0.0,4.0,0.0,Branded Foods,,1,Whole Nutrient
leavening agents lowsodium baking powder,2.32,216.6,4.9,2.35,0.0,0.02,0.41,1.45,505.0,0.01,0.004,4.5,0.0,0.0,0.31,0.04,,0.021,0.0,,,,Branded Foods,,0,Confectionaries
babyfood apple and prune juice,0.09,2.81,22.0,5.65,0.02,0.031,0.3,2.18,46.18,0.06,0.006,2.5,0.31,0.011,25.37,0.02,,,0.0,2.0,24.0,,Standard Reference Foods,Baked_Products,1,Whole Nutrient
babyfood apple and grape juice,0.09,2.81,22.0,5.65,0.02,0.031,0.3,2.18,46.18,0.06,0.006,2.5,0.31,0.011,25.37,0.02,,,0.0,1.0,23.0,,Standard Reference Foods,Baked_Products,1,Whole Nutrient
emu broiled cooked top loin,1.08,7.65,129.0,0.0,0.24,2.661,4.31,25.5,317.9,24.71,0.675,49.3,0.0,0.724,57.26,2.91,,0.026,,0.0,51.0,94.0,Branded Foods,Honey,4,Keto & Strength
restaurant prepared beef empanadas latino,1.45,17.8,298.0,27.76,0.09,16.349,2.4,18.69,169.1,10.07,4.589,391.6,16.02,0.132,33.38,1.66,0.735,0.238,0.18,,,,Branded Foods,,0,Confectionaries
babyfood orange and pineapple juice,0.12,3.12,13.0,3.15,0.01,0.062,0.06,1.56,43.06,0.12,,0.94,1.25,0.012,27.74,0.01,,,,1.0,34.0,,Standard Reference Foods,Baked_Products,1,Whole Nutrient
babyfood orange and apple juice,0.12,3.12,13.0,3.15,0.01,0.062,0.06,1.56,43.06,0.12,,0.94,1.25,0.012,27.74,0.01,,,,1.0,30.0,,Standard Reference Foods,Baked_Products,1,Whole Nutrient
bread toasted commercially prepared white,0.6,33.74,82.0,15.45,0.04,1.134,0.94,7.37,37.14,2.55,0.217,152.24,0.0,0.018,8.62,0.19,,0.119,0.0,14.0,35.0,53.0,Foundation Foods,Tomatoes,5,Unhealthy & Over-indulgent
lemonade prepared with water powder,0.04,1.32,4.6,1.18,0.0,0.013,0.0,3.3,1.98,0.0,0.0,1.98,0.0,0.0,31.77,0.0,0.0,0.0,0.0,0.0,22.0,,Branded Foods,,3,Packaged
oil approx 65 linoleic sunflower,0.0,0.0,120.0,0.0,0.0,13.6,0.0,0.0,0.0,0.0,1.401,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,3.0,0.0,Branded Foods,,1,Whole Nutrient
succotash raw corn and limas,1.26,18.0,99.0,19.59,0.19,1.02,1.83,48.0,369.0,5.03,0.19,4.0,15.0,0.13,73.1,0.61,0.0,0.688,0.0,2.0,68.0,98.0,Branded Foods,,1,Whole Nutrient
cream pressurized cream topping whipped,0.46,60.6,154.0,7.49,0.01,13.332,0.03,6.6,88.2,1.92,8.299,4.8,112.8,0.025,36.8,0.22,,0.001,0.24,3.0,15.0,137.0,Branded Foods,Crusts_AND_Dough,1,Whole Nutrient
beverages breakfast blend brewed coffee,0.15,4.96,5.0,0.42,0.01,0.0,0.05,9.92,124.0,0.74,0.0,2.48,0.0,0.0,246.69,0.05,,0.079,0.0,,,,Foundation Foods,Tomatoes,4,Keto & Strength
peas and onions unprepared frozen,0.48,15.87,48.0,9.32,0.07,0.221,1.06,14.49,140.07,2.75,0.039,42.09,18.63,0.099,56.23,0.33,0.0,0.189,0.0,4.0,74.0,86.0,Branded Foods,,0,Confectionaries
alcoholic beverage all regular beer,0.05,1.19,13.0,1.05,0.0,0.0,0.01,1.78,8.02,0.14,0.0,1.19,0.0,0.014,27.31,0.0,0.0,0.002,0.0,0.0,13.0,0.0,,,1,Whole Nutrient
lettuce raw cos or romaine,0.27,15.51,8.0,1.55,0.02,0.141,0.46,6.58,116.09,0.58,0.018,3.76,204.92,0.035,44.47,0.11,0.0,0.073,0.0,0.0,88.0,68.0,Branded Foods,,3,Packaged
turkey raw heart all classes,1.12,20.34,158.0,0.45,0.55,8.407,4.18,23.73,202.27,18.87,2.173,145.77,92.66,0.541,84.15,3.63,0.095,0.115,0.45,0.0,57.0,,Branded Foods,,0,Confectionaries
ice cream chocolate soft serve,0.77,112.66,191.0,19.09,0.03,11.18,0.18,10.32,152.22,3.53,6.416,52.46,139.32,0.041,51.43,0.45,,0.004,0.6,11.0,17.0,,Branded Foods,,4,Keto & Strength
emu broiled cooked inside drums,1.1,5.1,133.0,0.0,0.23,1.708,6.18,28.05,265.2,27.52,0.556,100.3,2.55,0.807,54.66,4.33,,0.029,,0.0,50.0,94.0,Branded Foods,Honey,0,Confectionaries
alcoholic beverage dry dessert wine,0.09,2.36,45.0,3.44,0.01,0.0,0.07,2.65,27.14,0.06,0.0,2.65,0.0,0.0,21.4,0.02,0.0,0.035,,1.0,5.0,,,,1,Whole Nutrient
salami beef and pork cooked,0.57,1.84,41.0,0.3,0.04,3.186,0.19,2.34,38.87,2.69,1.146,214.02,0.0,0.056,5.56,0.36,0.072,0.12,0.12,0.0,35.0,75.0,Branded Foods,,2,Frozen & Preserved
babyfood junior meat sticks meat,0.14,3.4,18.0,0.11,0.01,1.46,0.14,1.1,11.4,1.34,0.582,26.7,2.1,0.008,6.95,0.19,,,0.02,0.0,31.0,115.0,Standard Reference Foods,Baked_Products,0,Confectionaries
babyfood junior green beans vegetables,0.96,156.0,58.0,13.92,0.12,0.24,2.59,52.8,307.2,2.88,0.055,12.0,57.6,0.084,222.0,0.46,,,0.0,5.0,82.0,93.0,Standard Reference Foods,Baked_Products,1,Whole Nutrient
quail raw meat only breast,1.08,8.5,105.0,0.0,0.37,2.542,1.96,23.8,221.0,19.2,0.74,46.75,9.35,0.451,60.92,2.3,,0.015,,0.0,55.0,156.0,Branded Foods,,4,Keto & Strength
egg pasteurized frozen raw whole,0.25,17.36,41.0,0.28,0.01,2.786,0.49,2.52,37.8,3.45,0.947,35.84,47.88,0.053,21.23,0.37,0.015,0.009,0.73,,,,Branded Foods,Honey,0,Confectionaries
cake prepared from recipe sponge,0.37,11.91,84.0,16.36,0.02,1.219,0.45,2.55,39.97,2.07,0.369,64.64,21.83,0.017,8.33,0.17,,0.047,,23.0,21.0,112.0,Branded Foods,Powdered_Drinks,0,Confectionaries
restaurant lasagna with meat italian,10.28,900.29,845.0,51.92,0.32,48.853,3.61,100.54,1165.35,49.49,22.58,2129.62,370.17,0.558,296.46,6.03,1.426,0.635,0.0,,,,Branded Foods,,5,Unhealthy & Over-indulgent
beef jellied luncheon meat cured,0.95,2.8,31.0,0.0,0.03,0.924,0.97,5.04,112.56,5.32,0.395,370.16,0.0,0.07,20.89,0.99,,0.015,,0.0,49.0,103.0,Foundation Foods,Tomatoes,2,Frozen & Preserved
beverages whey protein powder isolate,9.26,600.28,309.0,25.0,1.0,0.998,1.08,200.38,749.92,50.0,0.5,319.92,749.92,1.0,0.74,7.5,0.0,0.998,0.0,,,,Foundation Foods,Tomatoes,0,Confectionaries
cake sponge cremefilled snack cakes,0.39,6.8,106.0,18.15,0.04,3.272,0.39,2.27,20.13,0.98,1.173,133.25,1.42,0.0,5.56,0.17,0.46,0.086,0.03,,,,Branded Foods,Powdered_Drinks,0,Confectionaries
potatoes homeprepared with butter scalloped,4.24,139.65,216.0,26.41,0.4,9.016,1.4,46.55,926.1,7.03,5.525,820.75,,0.436,198.3,0.98,,0.407,0.0,,,,Branded Foods,,2,Frozen & Preserved
babyfood strained green beans vegetables,1.18,93.6,65.0,15.1,0.07,0.408,1.61,48.0,350.4,2.88,0.094,16.8,43.2,0.091,220.44,0.53,,0.636,0.0,5.0,73.0,100.0,Standard Reference Foods,Baked_Products,1,Whole Nutrient
babyfood strained tutti frutti fruit,0.05,2.25,9.9,2.32,0.0,0.045,0.03,0.6,6.9,0.06,0.013,3.75,1.05,0.003,12.53,0.12,,,0.0,1.0,27.0,,Standard Reference Foods,Baked_Products,3,Packaged
restaurant beef and vegetables chinese,8.61,126.28,603.0,41.84,0.28,30.422,6.37,86.1,1170.96,40.64,5.614,2347.66,361.62,0.924,452.43,8.61,0.333,0.844,0.57,,,,Branded Foods,,2,Frozen & Preserved
alcoholic beverage canned pina colada,0.1,0.33,77.0,9.0,0.03,2.478,0.01,1.96,27.06,0.2,2.142,23.15,0.33,0.006,17.9,0.07,0.0,0.104,,4.0,5.0,,,,3,Packaged
squab raw meat only pigeon,2.94,32.63,356.0,0.0,1.49,18.825,11.32,62.75,594.87,43.92,4.92,128.01,70.28,1.33,182.73,6.78,,0.048,,0.0,56.0,156.0,Branded Foods,,4,Keto & Strength
cookies higher fat vanilla wafers,0.33,10.8,137.0,21.78,0.02,4.923,0.84,3.6,29.7,1.47,1.274,97.5,0.0,0.017,1.49,0.11,0.18,0.087,0.0,3.0,13.0,75.0,Branded Foods,Crusts_AND_Dough,3,Packaged
crackers low sodium toast thins,0.51,0.0,137.0,20.97,0.1,5.0,1.08,31.62,94.86,2.0,1.0,54.87,0.0,0.095,2.52,0.6,0.0,,0.0,,,,Branded Foods,Crusts_AND_Dough,3,Packaged
babyfood strained apple yogurt dessert,0.03,0.9,14.0,2.92,0.01,0.24,0.0,2.25,10.5,0.12,0.155,3.0,0.45,0.003,11.69,0.04,,,0.0,1.0,24.0,,Standard Reference Foods,Baked_Products,1,Whole Nutrient
sweeteners splenda packets sucralose tabletop,0.0,0.0,3.4,0.91,0.0,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.0,0.0,0.09,0.0,,0.0,0.0,1.0,0.0,0.0,Branded Foods,,1,Whole Nutrient
turkey sticks fried battered breaded,1.6,8.96,179.0,10.88,0.05,10.816,1.41,9.6,166.4,9.09,2.803,536.32,7.68,0.128,31.62,0.93,,0.053,,5.0,27.0,145.0,Branded Foods,,5,Unhealthy & Over-indulgent
candies with almonds milk chocolate,0.7,91.84,216.0,21.89,0.17,14.104,0.67,36.9,182.04,3.69,7.257,30.34,21.32,0.018,0.61,0.55,,0.256,0.0,10.0,17.0,,Branded Foods,Powdered_Drinks,1,Whole Nutrient
babyfood orange and pineapple juice,0.12,2.5,15.0,3.65,0.01,0.031,0.13,2.81,43.99,0.16,0.003,0.62,0.62,0.019,27.24,0.01,,,,1.0,34.0,,Standard Reference Foods,Baked_Products,1,Whole Nutrient
babyfood orange and apple juice,0.12,2.5,15.0,3.65,0.01,0.031,0.13,2.81,43.99,0.16,0.003,0.62,0.62,0.019,27.24,0.01,,,,1.0,30.0,,Standard Reference Foods,Baked_Products,1,Whole Nutrient
salad dressing regular caesar dressing,0.35,7.06,80.0,0.49,0.0,8.504,0.16,0.29,4.26,0.32,1.292,177.72,1.32,0.004,5.04,0.02,,0.006,0.01,0.0,8.0,,Branded Foods,,5,Unhealthy & Over-indulgent
syrups reducedcalorie pancake table blends,0.4,7.3,120.0,32.52,0.01,0.0,0.02,1.46,2.19,0.0,0.0,129.94,0.0,0.002,40.08,0.15,,0.016,0.0,,,,Branded Foods,,0,Confectionaries
turkey raw light meat whole,0.88,9.35,97.0,0.12,0.06,1.258,0.62,23.8,205.7,20.11,0.246,96.05,5.1,0.691,63.66,1.09,0.011,0.009,0.09,,,,Branded Foods,,0,Confectionaries
beverages regular brewed green tea,0.0,0.0,2.5,0.0,0.01,0.0,0.05,2.45,19.6,0.54,0.0,2.45,0.0,0.012,244.83,0.02,,0.451,0.0,,,,Foundation Foods,Tomatoes,0,Confectionaries
beverages strawberry fast food shake,0.21,26.55,27.0,4.44,0.01,0.658,0.03,3.06,42.77,0.8,0.407,19.5,6.11,0.01,17.41,0.08,0.0,0.004,0.0,,,,Foundation Foods,Tomatoes,3,Packaged
potatoes unprepared dry mix scalloped,1.95,16.12,93.0,19.22,0.07,1.193,0.52,15.34,235.3,2.02,0.312,410.28,0.0,0.047,1.62,0.24,,0.162,0.0,68.0,37.0,,Branded Foods,,2,Frozen & Preserved
cookies regular dry mix brownies,0.37,5.39,123.0,21.72,0.08,4.224,0.56,11.34,62.09,1.13,0.714,85.9,0.28,0.019,0.79,0.18,,0.1,,304.0,12.0,81.0,Branded Foods,Crusts_AND_Dough,3,Packaged
babyfood strained carrots and beef,0.1,3.3,8.9,0.85,0.01,0.375,0.07,1.95,33.9,0.51,0.144,10.35,108.45,0.015,13.1,0.12,,0.021,0.0,0.0,66.0,,Standard Reference Foods,Baked_Products,0,Confectionaries
stew squash navajo corn mutton,11.0,115.14,312.0,22.03,0.19,13.15,3.67,63.63,602.97,26.12,5.257,148.47,0.0,0.327,230.67,5.67,,0.264,,1.0,49.0,94.0,Branded Foods,,4,Keto & Strength
frostings dry mix creamy vanilla,1.23,12.33,1685.0,385.52,0.14,20.139,0.0,8.22,28.77,1.23,,53.43,0.0,0.004,2.88,0.04,,0.049,,268.0,0.0,39.0,Branded Foods,,1,Whole Nutrient
babyfood strained banana no tapioca,0.11,0.6,14.0,3.2,0.01,0.03,0.04,3.9,43.5,0.15,0.011,0.3,0.0,0.039,11.51,0.01,,,0.0,1.0,32.0,,Standard Reference Foods,Baked_Products,1,Whole Nutrient
oil salad or cooking olive,0.0,0.14,119.0,0.0,0.0,13.5,0.08,0.0,0.14,0.0,1.864,0.27,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,5.0,0.0,Branded Foods,,1,Whole Nutrient
sweeteners brown granulated sugar substitute,0.02,4.39,1.7,0.42,0.0,0.0,0.0,0.03,0.2,0.01,,2.86,,0.0,0.05,0.0,,0.0,,,,,Branded Foods,,5,Unhealthy & Over-indulgent
pork unheated patties ham cured,0.83,2.27,89.0,0.48,0.02,7.992,0.3,2.83,67.76,3.62,2.872,308.45,0.0,0.045,15.42,0.45,,0.007,,1.0,22.0,136.0,Branded Foods,,2,Frozen & Preserved
cheese with fruit creamed cottage,1.36,59.89,110.0,5.21,0.05,4.351,0.18,7.91,101.7,12.08,2.611,388.72,42.94,0.077,89.99,0.37,,0.003,0.0,8.0,37.0,157.0,Branded Foods,Other_Condiments,2,Frozen & Preserved
peppers raw red hot chili,0.39,6.3,18.0,3.96,0.06,0.198,0.46,10.35,144.9,0.84,0.019,4.05,21.6,0.228,39.61,0.12,0.0,0.084,0.0,2.0,82.0,93.0,Branded Foods,,1,Whole Nutrient
beverages bottled cranberryapple juice drink,0.08,0.92,19.0,4.85,0.0,0.034,0.02,0.31,5.2,0.0,0.004,0.61,0.0,0.0,25.64,0.01,0.0,0.009,0.0,,,,Foundation Foods,Tomatoes,1,Whole Nutrient
puddings regular dry mix lemon,2.04,4.25,309.0,78.03,0.02,0.425,0.14,3.4,4.25,0.09,,430.1,0.0,0.004,4.42,0.02,,0.021,,3.0,6.0,,Branded Foods,,0,Confectionaries
cookies softtype commercially prepared oatmeal,0.68,25.52,116.0,18.63,0.16,4.167,0.79,8.51,38.27,1.73,1.029,98.94,1.42,0.024,3.12,0.12,,0.119,,,,,Branded Foods,Crusts_AND_Dough,0,Confectionaries
